Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 3603: (None, None, 3595, 1798, 3, 4, 1, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3604: (None, None, 3596, 1798, 1, 5, 4, 5, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3605: (None, None, 3597, 1799, 6, 5, 3, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3606: (None, None, 3598, 1799, 3, 3, 2, 2, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3607: (None, None, 3599, 1800, 6, 4, 3, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3608: (None, None, 3600, 1800, 1, 3, 3, 3, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3609: (None, None, 3601, 1801, 3, 5, 6, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3610: (None, None, 3602, 1801, 1, 1, 1, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3611: (None, None, 3603, 1802, 4, 2, 6, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3612: (None, None, 3604, 1802, 3, 1, 5, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3613: (None, None, 3605, 1803, 4, 4, 5, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3614: (None, None, 3606, 1803, 3, 2, 6, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3615: (None, None, 3607, 1804, 5, 5, 2, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3616: (None, None, 3608, 1804, 3, 4, 5, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3617: (None, None, 3609, 1805, 5, 5, 6, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3618: (None, None, 3610, 1805, 3, 2, 4, 6, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3619: (None, None, 3611, 1806, 2, 2, 3, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3620: (None, None, 3612, 1806, 3, 6, 4, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3621: (None, None, 3613, 1807, 3, 3, 6, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3622: (None, None, 3614, 1807, 3, 3, 2, 5, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3623: (None, None, 3615, 1808, 4, 3, 6, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3624: (None, None, 3616, 1808, 6, 5, 1, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3625: (None, None, 3617, 1809, 1, 2, 5, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3626: (None, None, 3618, 1809, 2, 3, 4, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3627: (None, None, 3619, 1810, 2, 6, 3, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3628: (None, None, 3620, 1810, 4, 3, 1, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3629: (None, None, 3621, 1811, 2, 5, 3, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3630: (None, None, 3622, 1811, 2, 2, 2, 4, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3631: (None, None, 3623, 1812, 5, 3, 3, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3632: (None, None, 3624, 1812, 1, 2, 5, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3633: (None, None, 3625, 1813, 2, 5, 4, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3634: (None, None, 3626, 1813, 6, 4, 6, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3635: (None, None, 3627, 1814, 4, 1, 6, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3636: (None, None, 3628, 1814, 5, 4, 5, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3637: (None, None, 3629, 1815, 1, 5, 5, 4, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3638: (None, None, 3630, 1815, 6, 3, 3, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3639: (None, None, 3631, 1816, 3, 3, 1, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3640: (None, None, 3632, 1816, 2, 5, 3, 6, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3641: (None, None, 3633, 1817, 1, 2, 3, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3642: (None, None, 3634, 1817, 2, 5, 4, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3643: (None, None, 3635, 1818, 1, 2, 5, 2, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3644: (None, None, 3636, 1818, 1, 1, 5, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3645: (None, None, 3637, 1819, 5, 5, 5, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3646: (None, None, 3638, 1819, 5, 4, 6, 3, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3647: (None, None, 3639, 1820, 2, 4, 1, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3648: (None, None, 3640, 1820, 6, 3, 4, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3649: (None, None, 3641, 1821, 3, 6, 2, 5, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3650: (None, None, 3642, 1821, 6, 4, 6, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3651: (None, None, 3643, 1822, 2, 4, 6, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3652: (None, None, 3644, 1822, 6, 3, 2, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3653: (None, None, 3645, 1823, 6, 6, 6, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3654: (None, None, 3646, 1823, 4, 2, 6, 4, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3655: (None, None, 3647, 1824, 5, 1, 6, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3656: (None, None, 3648, 1824, 4, 6, 1, 1, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3657: (None, None, 3649, 1825, 6, 4, 2, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3658: (None, None, 3650, 1825, 1, 6, 4, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3659: (None, None, 3651, 1826, 5, 1, 4, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3660: (None, None, 3652, 1826, 4, 6, 4, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3661: (None, None, 3653, 1827, 2, 3, 5, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3662: (None, None, 3654, 1827, 3, 5, 3, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3663: (None, None, 3655, 1828, 1, 2, 6, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3664: (None, None, 3656, 1828, 2, 1, 1, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3665: (None, None, 3657, 1829, 1, 6, 5, 6, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3666: (None, None, 3658, 1829, 1, 2, 2, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3667: (None, None, 3659, 1830, 4, 5, 4, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3668: (None, None, 3660, 1830, 5, 3, 1, 4, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3669: (None, None, 3661, 1831, 3, 4, 5, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3670: (None, None, 3662, 1831, 2, 3, 5, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3671: (None, None, 3663, 1832, 4, 6, 1, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3672: (None, None, 3664, 1832, 5, 2, 2, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3673: (None, None, 3665, 1833, 4, 3, 2, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3674: (None, None, 3666, 1833, 1, 1, 1, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3675: (None, None, 3667, 1834, 4, 2, 4, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3676: (None, None, 3668, 1834, 3, 5, 4, 6, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3677: (None, None, 3669, 1835, 6, 3, 4, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3678: (None, None, 3670, 1835, 2, 4, 6, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3679: (None, None, 3671, 1836, 1, 4, 3, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3680: (None, None, 3672, 1836, 3, 2, 5, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3681: (None, None, 3673, 1837, 1, 1, 6, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3682: (None, None, 3674, 1837, 1, 4, 5, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3683: (None, None, 3675, 1838, 3, 5, 2, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3684: (None, None, 3676, 1838, 4, 3, 1, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3685: (None, None, 3677, 1839, 5, 5, 2, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3686: (None, None, 3678, 1839, 4, 6, 6, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3687: (None, None, 3679, 1840, 3, 5, 4, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3688: (None, None, 3680, 1840, 6, 5, 2, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3689: (None, None, 3681, 1841, 6, 4, 4, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3690: (None, None, 3682, 1841, 6, 5, 5, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3691: (None, None, 3683, 1842, 6, 5, 4, 5, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3692: (None, None, 3684, 1842, 4, 4, 6, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3693: (None, None, 3685, 1843, 5, 5, 2, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3694: (None, None, 3686, 1843, 4, 2, 3, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3695: (None, None, 3687, 1844, 2, 6, 6, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3696: (None, None, 3688, 1844, 3, 3, 5, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3697: (None, None, 3689, 1845, 4, 3, 4, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3698: (None, None, 3690, 1845, 2, 5, 2, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3699: (None, None, 3691, 1846, 3, 2, 4, 6, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3700: (None, None, 3692, 1846, 3, 5, 3, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3701: (None, None, 3693, 1847, 3, 1, 1, 1, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3702: (None, None, 3694, 1847, 2, 5, 6, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3703: (None, None, 3695, 1848, 5, 2, 3, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3704: (None, None, 3696, 1848, 4, 2, 6, 1, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3705: (None, None, 3697, 1849, 6, 4, 2, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3706: (None, None, 3698, 1849, 5, 3, 4, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3707: (None, None, 3699, 1850, 6, 4, 2, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3708: (None, None, 3700, 1850, 6, 5, 4, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3709: (None, None, 3701, 1851, 2, 5, 6, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3710: (None, None, 3702, 1851, 1, 3, 2, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3711: (None, None, 3703, 1852, 6, 5, 5, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3712: (None, None, 3704, 1852, 5, 4, 6, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3713: (None, None, 3705, 1853, 3, 3, 1, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3714: (None, None, 3706, 1853, 2, 1, 6, 4, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3715: (None, None, 3707, 1854, 1, 1, 3, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3716: (None, None, 3708, 1854, 2, 2, 6, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3717: (None, None, 3709, 1855, 6, 2, 6, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3718: (None, None, 3710, 1855, 2, 6, 1, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3719: (None, None, 3711, 1856, 3, 5, 2, 2, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3720: (None, None, 3712, 1856, 3, 6, 5, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3721: (None, None, 3713, 1857, 3, 6, 2, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3722: (None, None, 3714, 1857, 5, 2, 5, 3, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3723: (None, None, 3715, 1858, 6, 1, 1, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3724: (None, None, 3716, 1858, 4, 3, 1, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3725: (None, None, 3717, 1859, 2, 6, 5, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3726: (None, None, 3718, 1859, 1, 1, 5, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3727: (None, None, 3719, 1860, 3, 5, 4, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3728: (None, None, 3720, 1860, 1, 1, 4, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 3729: (None, None, 3721, 1861, 1, 3, 3, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3730: (None, None, 3722, 1861, 2, 5, 2, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3731: (None, None, 3723, 1862, 6, 4, 3, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3732: (None, None, 3724, 1862, 5, 6, 4, 1, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3733: (None, None, 3725, 1863, 5, 5, 6, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3734: (None, None, 3726, 1863, 4, 6, 2, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3735: (None, None, 3727, 1864, 3, 2, 4, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3736: (None, None, 3728, 1864, 5, 3, 5, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3737: (None, None, 3729, 1865, 5, 4, 5, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3738: (None, None, 3730, 1865, 6, 4, 3, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3739: (None, None, 3731, 1866, 5, 1, 5, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3740: (None, None, 3732, 1866, 3, 3, 4, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 3741: (None, None, 3733, 1867, 1, 5, 5, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3742: (None, None, 3734, 1867, 3, 6, 1, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3743: (None, None, 3735, 1868, 3, 4, 5, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 3744: (None, None, 3736, 1868, 5, 3, 4, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3745: (None, None, 3737, 1869, 2, 3, 6, 2, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3746: (None, None, 3738, 1869, 6, 1, 2, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 3747: (None, None, 3739, 1870, 1, 5, 4, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3748: (None, None, 3740, 1870, 2, 1, 2, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 3749: (None, None, 3741, 1871, 5, 5, 3, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 3750: (None, None, 3742, 1871, 2, 6, 1, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
